مدخل,هدف
"هل الجملة التالية معقولة؟ ""الياس ليندهولم ضرب الجرس.""",no
"هل الجملة التالية معقولة؟ ""وسجل جون كارلسون في الشوط الثالث"".",نعم
"هل الجملة التالية معقولة؟ ""مارسيلو حصل على نهاية كرة بينية.""",نعم
"هل الجملة التالية معقولة؟ ""تم استدعاء Deshaun Watson لهدف تميل في نهائيات المؤتمر الشرقي.""",no
"هل الجملة التالية معقولة؟ ""تزلج Mookie Betts خلف الشبكة.""",no
"هل الجملة التالية معقولة؟ ""حصل جون تافاريس على رحلة إلى منطقة الجزاء في كأس ستانلي"".",نعم
"هل الجملة التالية معقولة؟ ""ديفيد سيلفا ألقى رمية في"".",نعم
"هل الجملة التالية معقولة؟ ""ضرب برايس هاربر في كتف الظهر يتلاشى"".",no
"هل الجملة التالية معقولة؟ ""كارليس بويول فعل مارادونا على المدافع.""",نعم
"هل الجملة التالية معقولة؟ ""أطلق روبن لينر صرخة اليأس"".",no
"هل الجملة التالية معقولة؟ ""أخذ كارسون وينتز إلى الجليد.""",no
"هل الجملة التالية معقولة؟ ""كوادو أسامواه تم تمييزه في المسرحية.""",no
"هل الجملة التالية معقولة؟ ""مشى جاك فلاهيرتي إلى القاعدة الأولى في سلسلة بطولة الدوري الوطني.""",نعم
"هل الجملة التالية معقولة؟ ""جيسون تاتوم ضرب المدافع"".",no
"هل الجملة التالية معقولة؟ ""دوجي هاميلتون ضرب الخافق الجرس.""",no
"هل الجملة التالية معقولة؟ ""تجاوز فريدريك أندرسن الخط الأزرق في كأس ستانلي.""",نعم
"هل الجملة التالية معقولة؟ ""فريدي فريمان شاهد الملعب وهو يمر.""",نعم
"هل الجملة التالية معقولة؟ ""سجل آدم تيلن في الوقت الإضافي"".",no
"هل الجملة التالية معقولة؟ ""توم برادي حول أول أسفل.""",نعم
"هل الجملة التالية معقولة؟ ""جورجيو كيليني ارتكب لمسة يد في كأس الاتحاد الإنجليزي"".",نعم
"هل الجملة التالية معقولة؟ ""اشتعلت تيريك هيل تمريرة الشاشة.""",نعم
"هل الجملة التالية معقولة؟ ""فريدريك أندرسن أخذ ثلاثة.""",no
"هل الجملة التالية معقولة؟ ""آدم ثيلين حصل على القاعدة.""",no
"هل الجملة التالية معقولة؟ ""سجل جيرارد بيكيه ركلة ركنية"".",نعم
"هل الجملة التالية معقولة؟ ""أجرى كيلر ياماموتو تدخلًا منزلقًا في كأس أوروبا.""",no
"هل الجملة التالية معقولة؟ ""حصل كوربين بيرنز على ركلة غير مباشرة.""",no
"هل الجملة التالية معقولة؟ ""أطلق LaMelo Ball تسديدة نصف الملعب في نهائيات المؤتمر الغربي.""",نعم
"هل الجملة التالية معقولة؟ ""فاز جوناس فالانسيوناس على الجرس.""",نعم
"هل الجملة التالية معقولة؟ ""زاك لافين أطلق النار على القرص.""",no
"هل الجملة التالية معقولة؟ ""ناظم قادري تولى المسؤولية في بطولة الدوري الاميركي للمحترفين"".",no
"هل الجملة التالية معقولة؟ ""ذهب ديلون رايت في المركز الرابع.""",no
"هل الجملة التالية معقولة؟ ""مالكولم بروجدون احتل الفرصة.""",نعم
