输入,目标
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙是广场舞会上的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与帕特里克跳舞，鲍勃与山姆跳舞，克莱尔与杰米跳舞，戴夫与洛拉跳舞，伊芙与梅丽莎跳舞。
在整首歌中，舞者经常交换舞伴。首先，戴夫和伊芙交换伙伴。然后，戴夫和爱丽丝交换了伙伴。然后，伊芙和爱丽丝交换了伙伴。然后，克莱尔和鲍勃交换了伙伴。最后，戴夫和爱丽丝交换了伙伴。舞蹈结束时，爱丽丝与
选项：
(A) 帕特里克
(B) 萨姆
(C) 杰米
(D) 萝拉
（E）梅丽莎",(A)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙是广场舞会上的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与奥菲莉亚跳舞，鲍勃与杰米跳舞，克莱尔与梅丽莎跳舞，戴夫与罗德里戈跳舞，伊芙与帕特里克跳舞。
在整首歌中，舞者经常交换舞伴。首先，克莱尔和鲍勃交换了伙伴。然后，克莱尔和伊芙交换了伙伴。然后，克莱尔和鲍勃交换了伙伴。然后，伊芙和戴夫交换了伙伴。最后，克莱尔和爱丽丝交换了伙伴。舞蹈结束时，爱丽丝与
选项：
(A) 奥菲莉亚
(B) 杰米
(C)梅丽莎
(D) 罗德里戈
(E) 帕特里克",(C)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙是广场舞会上的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与杰米跳舞，鲍勃与洛拉跳舞，克莱尔与伊兹跳舞，戴夫与罗德里戈跳舞，伊芙与奥菲莉亚跳舞。
在整首歌中，舞者经常交换舞伴。首先，鲍勃和夏娃交换伙伴。然后，爱丽丝和鲍勃交换了伙伴。然后，戴夫和爱丽丝交换了伙伴。然后，戴夫和克莱尔交换了伙伴。最后，鲍勃和克莱尔交换了伙伴。舞蹈结束时，克莱尔与
选项：
（一）杰米
(B) 萝拉
(C) 伊兹
(D) 罗德里戈
(E) 奥菲莉亚",(A)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《第二十二条军规》，鲍勃买了《巴斯克维尔猎犬》，克莱尔买了《弗兰肯斯坦》，戴夫买了《珍珠》，伊芙买了《指环王》。
随着学期的进行，他们开始围绕新书进行交易。首先，伊芙和爱丽丝交换书籍。然后，爱丽丝和克莱尔交换书籍。然后，爱丽丝和鲍勃交换书。然后，戴夫和爱丽丝交换书籍。最后，戴夫和克莱尔交换了书籍。学期结束时，戴夫
选项：
(A) 第 22 条军规
(B) 巴斯克维尔猎犬
(C) 弗兰肯斯坦
(D) 珍珠
(E) 魔戒远征队",(E)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《白鲸》，鲍勃买了《尤利西斯》，克莱尔买了《指环王》，戴夫买了《洛丽塔》，伊芙买了《第二十二条军规》。
随着学期的进行，他们开始围绕新书进行交易。首先，克莱尔和鲍勃交换书籍。然后，克莱尔和戴夫交换书籍。然后，戴夫和爱丽丝交换书籍。然后，戴夫和鲍勃交换书籍。最后，伊芙和戴夫交换了书籍。学期结束时，克莱尔
选项：
(A)莫比迪克
(B) 尤利西斯
(C) 魔戒远征队
(D) 洛丽塔
(E) 第 22 条军规",(D)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：Alice 踢守门员，Bob 踢左中场，Claire 踢右边锋，Dave 踢前锋，Eve 踢中前卫。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，爱丽丝和克莱尔交换头寸。然后，爱丽丝和鲍勃交易头寸。然后，戴夫和鲍勃交换头寸。然后，鲍勃和伊芙交换头寸。最后，戴夫和伊芙交换了立场。比赛结束时，Eve 正在上场
选项：
（一）守门员
(B) 左中场
(C) 右边锋
（四）前锋
(E) 中场",(C)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙是广场舞会上的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与赫尔加跳舞，鲍勃与杰米跳舞，克莱尔与奥菲莉亚跳舞，戴夫与卡尔跳舞，伊芙与罗德里戈跳舞。
在整首歌中，舞者经常交换舞伴。首先，伊芙和鲍勃交换了伙伴。然后，戴夫和克莱尔交换了伙伴。然后，克莱尔和鲍勃交换了伙伴。然后，戴夫和爱丽丝交换了伙伴。最后，克莱尔和伊芙交换了伴侣。舞蹈结束时，克莱尔与
选项：
(A) 赫尔加
(B) 杰米
(C) 奥菲莉亚
(D)卡尔
(E) 罗德里戈",(B)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙正在举行一场白象礼物交换活动。活动开始时，他们每个人都拿着一份不同颜色的礼物：爱丽丝有一份绿色礼物，鲍勃有一份紫色礼物，克莱尔有一份蓝色礼物，戴夫有一个黑球，而伊芙有一份白色礼物。
随着活动的进行，人们会交换礼物。首先，伊芙和鲍勃交换礼物。然后，克莱尔和爱丽丝交换了礼物。然后，鲍勃和夏娃交换礼物。然后，戴夫和克莱尔交换了礼物。最后，爱丽丝和夏娃交换了礼物。活动结束后，克莱尔获得了
选项：
（一）绿色礼物
(B) 紫色礼物
(C) 蓝色礼物
(D) 黑球
(E) 白色礼物",(D)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《指环王》，鲍勃买了《奥德赛》，克莱尔买了《弗兰肯斯坦》，戴夫买了《巴斯克维尔猎犬》，伊芙买了《尤利西斯》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和克莱尔交换书籍。然后，爱丽丝和夏娃交换书籍。然后，戴夫和克莱尔交换书籍。然后，戴夫和鲍勃交换书籍。最后，戴夫和爱丽丝交换了书。学期结束时，爱丽丝
选项：
(A) 魔戒远征队
(B) 奥德赛
(C) 弗兰肯斯坦
(D) 巴斯克维尔猎犬
(E) 尤利西斯",(B)
"爱丽丝、鲍勃、克莱尔、戴夫和伊芙在一场足球比赛中属于同一支球队。比赛开始时，他们各自被分配到一个位置：Alice 踢替补，Bob 踢左中场，Claire 踢左边锋，Dave 踢中前卫，Eve 踢前锋。
随着游戏的进行，成对的玩家偶尔会交换位置。首先，伊芙和戴夫交换立场。然后，戴夫和爱丽丝交换头寸。然后，克莱尔和鲍勃交换头寸。然后，鲍勃和伊芙交换头寸。最后，爱丽丝和戴夫交换头寸。比赛结束时，Eve 正在上场
选项：
(A) 替补队员
(B) 左中场
(C) 左边锋
(D) 中场
（五）前锋",(C)
