输入,目标
"以下哪项是对该艺术家或电影名称的幽默编辑：“雨人”？
选项：
（一）毁灭人
(B) 下雨的人
（三）雨人
(D) 雨人",(A)
"以下哪项是对该艺术家或电影名称的幽默编辑：“黑暗骑士崛起”？
选项：
(A) 树皮骑士崛起
(B) 黑暗骑士崛起
(C) 呆子骑士崛起
(D) 黑暗骑士崛起",(C)
"以下哪项是对该艺术家或电影名称的幽默编辑：“肖申克的救赎”？
选项：
(A) 夏普申克的救赎
(B) 肖申克的救赎
(C) 肖申克的救赎
（四）肖鲨的救赎",(D)
"以下哪项是对该艺术家或电影名称的幽默编辑：“第三个人”？
选项：
（一）第三人
(B) 第三人
(C) 第三人
(D) 第三盘",(D)
"以下哪项是对该艺术家或电影名称的幽默编辑：“酷玩”？
选项：
(A) 冷奈
(B) 冷玩
(C) 冷格拉
(D) 销售游戏",(D)
"以下哪项是对该艺术家或电影名称的幽默编辑：“保罗·里维尔与袭击者”？
选项：
(A) 保罗·罗菲弗尔和袭击者
(B) 保罗·西弗利和掠夺者
(C) 保罗·里维尔和袭击者
(D) 保罗·埃里维尔和袭击者",(B)
"以下哪项是对该艺术家或电影名称的幽默编辑：“粉碎南瓜”？
选项：
(A) 粉碎乡巴佬
(B) 粉碎南瓜
(C) 粉碎南瓜
(D) 捣碎南瓜",(A)
"以下哪项是对该艺术家或电影名称的幽默编辑：“枪炮与玫瑰”？
选项：
(A) 枪与玫瑰
(B) 枪与绳索
(C) 枪与玫瑰
(D) 枪和软管",(D)
"以下哪项是对该艺术家或电影名称的幽默编辑：“披头士乐队”？
选项：
(A) 披头士乐队
（二）无敌者
(C) 披头士乐队
(D) tce披头士乐队",(B)
"以下哪项是对该艺术家或电影名称的幽默编辑：“地狱男爵”？
选项：
(A) 赫尔比
(B) hpllboy
(C) 牢房男孩
(D) 地狱",(C)
"以下哪项是对该艺术家或电影名称的幽默编辑：“网络钓鱼”？
选项：
(A) 菲斯特
(B) 菲斯格
(C) PKISH
(D) PH",(A)
"以下哪项是对该艺术家或电影名称的幽默编辑：“谁！”？
选项：
(A) 哇嗬！
(B) x他谁！
（三）为什么！
(D) 谁！",(C)
"以下哪项是对该艺术家或电影名称的幽默编辑：“勇敢的心”？
选项：
（一）勇敢的心
(B) 墓心
(C) 勇敢的心
(D) 勇敢的心",(B)
"以下哪项是对该艺术家或电影名称的幽默编辑：“三个臭皮匠”？
选项：
(A) 三个斯穆吉
(B) 三个贪玩者
（三）三索格
(D) 三个斯托奇",(D)
"以下哪项是对该艺术家或电影名称的幽默编辑：“猎鹿人”？
选项：
(A) 猎鹿人
(B) 啤酒猎人
(C) 克鹿猎人
(D) 猎鹿人",(B)
"以下哪项是对该艺术家或电影名称的幽默编辑：“boyz​​ 2 men”？
选项：
(A) 男孩 2 喵
(B) 男孩 2 本
(C) 玩具z 2 人
(D) 博伊兹 2 人",(C)
"以下哪项是对该艺术家或电影名称的幽默编辑：“野兽男孩”？
选项：
(A) 酵母男孩
(B) 野兽们
(C) bpeastie 男孩
(D) 野兽男孩",(A)
