输入,目标
"找一部类似《蝙蝠侠》、《面具》、《逃亡者》、《风月俏佳人》的电影：
选项：
(A) 首页
(B) 漩涡
(C) 狮子王
(D) 拉美利卡",(C)
"找一部类似《第六感》、《黑客帝国》、《阿甘正传》、《肖申克的救赎》的电影：
选项：
(A) 街头霸王 II 动画电影
(B) 遮蔽的天空
(C) 会飞的男孩
(D) 终结者 2 审判日",(D)
"找一部类似《辛德勒的名单》、《勇敢的心》、《沉默的羔羊》、《墓碑》的电影：
选项：
(A) 奥兰多
(B) 浪漫之罪
(C) 阿甘正传
(D) 所有真正的女孩",(C)
"找一部类似于《终结者2：审判日》、《逃亡者》、《肖申克的救赎》、《死囚行走》的电影：
选项：
(一)步行
(B) 别跑
(C) 小羊肖恩电影
(D) 洛奇四号
(E) 勇敢的心",(E)
"找一部类似《勇敢的心》、《面具》、《逃亡者》、《蝙蝠侠》的电影：
选项：
(A) 俱乐部恐惧
(B) 乔治·华盛顿
(C) 辛德勒的名单
(D) 美国往事",(C)
"找一部类似《盗火线》、《逃亡者》、《阿甘正传》、《沉默的羔羊》的电影：
选项：
(A) 死亡竞赛2
(B) 炮弹奔跑 II
(C) 独立日
(D) 睡衣派对大屠杀 II",(C)
"找一部类似《夺宝奇兵》、《肖申克的救赎》、《盗梦空间》、《低俗小说》的电影：
选项：
(A) 超越波塞冬冒险
(B) 合唱团
(C) 阿甘正传
(D) 僵尸启示录侦察兵指南",(C)
"找一部类似《辛德勒的名单》、《低俗小说》、《勇敢的心》、《非常嫌疑犯》的电影：
选项：
(A) 十二怒汉
(B) 更好的蓝调
(C) 心灵猎人
(D) 肖申克的救赎",(D)
"找一部类似《侏罗纪公园》、《沉默的羔羊》、《辛德勒的名单》、《勇敢的心》的电影：
选项：
(A) 辛苦的一天一夜
(B) 演出时间
(C) 阿甘正传
(D) 老鹰埃迪",(C)
"找一部类似《指环王：双塔奇兵》、《指环王：指环王》、《星球大战 IV：新希望》、《黑客帝国》的电影：
选项：
（一）回报
(B) 隐藏的堡垒
(C) 辛德勒的名单
(D) 事件的结束",(C)
"找一部类似于《阿甘正传》、《低俗小说》、《逃亡者》、《与狼共舞》的电影：
选项：
(A) 龙心3 魔法师的诅咒
(B) 奇拉克
(C) 星际之门
(D) 太极旗战争兄弟会",(C)
"找一部类似于《阿甘正传》、《逃亡者》、《肖申克的救赎》、《低俗小说》的电影：
选项：
(A) 锚称重
(B) 鲁尼曲调回归
(C) 波奇的复仇
(D) 与狼共舞",(D)
"找一部类似于《阿甘正传》、《沉默的羔羊》、《碟中谍》、《侏罗纪公园》的电影：
选项：
(A) 乔某人
(B) 混战
(C) 独立日
(D) 双峰火与我同行",(C)
"找一部类似《肖申克的救赎》、《非常嫌疑犯》、《低俗小说》、《冰血暴》的电影：
选项：
(一) 损坏
(B) 天上掉馅饼
(C) 逃亡者
(D) 橡皮泥乌鸦",(C)
"找一部类似《逃亡者》、《低俗小说》、《非常嫌疑犯》、《终结者 2 审判日》的电影：
选项：
(A) 奇妙的熊猫历险记
(B) 理发师陶德
(C) 欢迎来到萨拉热窝
(四) 七",(D)
"找一部类似于《阿甘正传》、《沉默的羔羊》、《七号》、《冰血暴》的电影：
选项：
（一）甘地
(B) 辛德勒的名单
(C) 混战
(D) 回购人",(B)
"找一部类似《低俗小说》、《勇敢的心》、《肖申克的救赎》、《赤潮》的电影：
选项：
(A) 最后的执行者 Goon
(B) 非常 Harold & Kumar 3D 圣诞节
(C) 逃亡者
(D) 分离",(C)
"找一部类似《狮子王》、《逃亡者》、《辛德勒的名单》、《肖申克的救赎》的电影：
选项：
(A) 偷窃的艺术
(B) 低俗小说
(C) 太空堡垒卡拉狄加计划
(D) 违反所有规则",(B)
"找一部类似《低俗小说》、《肖申克的救赎》、《辛德勒的名单》、《与狼共舞》的电影：
选项：
(A) 复活节游行
(B) 美国队长第一复仇者
(C) 勇敢的心
(D) 躁狂",(C)
"找一部类似于《美女与野兽》、《独立日》、《阿甘正传》、《侏罗纪公园》的电影：
选项：
(A) 袋子人
(B) 沉默的羔羊
(C) 极端措施
(D) 开球",(B)
"找一部类似于《肖申克的救赎》、《阿甘正传》、《与狼共舞》、《霍兰德先生的作品》类似的电影：
选项：
(一) PK
(B) 了不起的盖茨比
(C) 费城
(D) 卡斯帕遇见温迪",(C)
"找一部类似《盗梦空间》、《低俗小说》、《阿甘正传》、《夺宝奇兵》的电影：
选项：
(A) 谁害怕弗吉尼亚·伍尔夫
(B) 了不起的狐狸先生
(C) 诸神之战
(D) 独立日",(D)
"找一部类似于《星球大战7：原力觉醒》、《头脑特工队》、《低俗小说》、《夺宝奇兵》的电影：
选项：
(A) 欧内斯特再次骑行
(B) 阿甘正传
(C) 提案
(D) 关于性你一直想知道但又不敢问的一切",(B)
"找一部类似于《蜘蛛侠》、《蜘蛛侠2》、《黑客帝国》、《独立日》的电影：
选项：
(A) 侏罗纪世界 失落王国
(B) 第五元素
(C) 穿越宇宙
(四) 失眠",(B)
"查找类似于《星球大战 5：帝国反击战》、《土拨鼠之日》、《碟中谍》、《星球大战 4：新希望》的电影：
选项：
(A) 俯视图
(B) 门
(C) 夺宝方舟
(D) 快速改变",(C)
"找一部类似《黑暗军团》、《围棋》、《第六感》、《异形》的电影：
选项：
(A) 酷手卢克
(B) 玉米之子 III
(C) 冰雪守护者
(D) 天堂电影院",(A)
"找一部类似于《阿波罗 13 号》、《侏罗纪公园》、《虎胆龙威》、《阿甘正传》的电影：
选项：
(A) 杀手电影
(二) 隐身性
(C) 地球上最后一个人
(D) 真实的谎言",(D)
"找一部类似《低俗小说》、《非常嫌疑犯》、《辛德勒的名单》、《冰血暴》的电影：
选项：
(A) 引发Gator的兴衰
(B) 在游戏中生存
(C) 看看谁在说话
(D) 肖申克的救赎",(D)
"找一部类似于《玩具总动员》、《面具》、《蝙蝠侠》、《狮子王》的电影：
选项：
(A) 退出伤口
(B) 醉酒之爱
(C) 寻求正义
(D) 漂亮女人",(D)
"找一部类似《肖申克的救赎》、《低俗小说》、《辛德勒的名单》、《勇敢的心》的电影：
选项：
(A) 银行工作
（二）机器人嘉年华
（三）与狼共舞
(D) 家族之石",(C)
"找一部类似于《独立日》、《沉默的羔羊》、《夺宝奇兵》、《冰血暴》的电影：
选项：
(A) 爱心小熊大电影 II 新一代
(B) 噪音关闭
(C) 逃亡者
(D) 熄灯",(C)
"找一部类似蝙蝠侠、低俗小说、阿波罗13号、辛德勒名单的电影：
选项：
(A) 最后的吻
(B) 欧罗巴
(C) 勇敢的心
(D) 猩球崛起",(C)
"找一部类似《逃亡者》、《勇敢的心》、《辛德勒的名单》、《狮子王》的电影：
选项：
(A) 疯狂之城
(B) 蝎子王
(C) 肖申克的救赎
(D) 人类之城",(C)
"找一部类似《勇敢的心》、《与狼共舞》、《低俗小说》、《辛德勒的名单》的电影：
选项：
(A) 挠痒痒的巨人
(B) 吸血鬼之影
(C) 一般嫌疑犯
(D) 在镇上",(C)
"找一部类似《第六感》、《指环王》、《双塔奇兵》、《非常嫌疑犯》、《阿甘正传》的电影：
选项：
(A) 无需申报
(B) 交火
(C) 末日
(D) 星球大战第四集 - 新希望",(D)
"找一部类似《好家伙》、《夺宝奇兵》、《星球大战 IV - 新希望》、《沉默的羔羊》的电影：
选项：
(A)巨蟒剧团和圣杯
(B) 伯尼家的周末
(C) 美国人在巴黎
(D) 安
(E) 让它下雪",(A)
"找一部类似《低俗小说》、《逃亡者》、《肖申克的救赎》、《与狼共舞》的电影：
选项：
(A) 整个人
(B) 阿甘正传
(C) 伊丽莎白敦
(D) 弗兰肯斯坦的新娘",(B)
