输入,目标
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。现在我们在表中添加一只企鹅：
詹姆斯, 12, 90, 12
这是一个类似的表，但列出了长颈鹿：
姓名、年龄、身高(cm)、体重(kg)
乔迪，5, 430, 620
格拉迪斯, 10, 420, 590
玛丽安, 2, 310, 410
唐娜，9、440、650
最古老的企鹅是哪只？
选项：
（一）路易斯
(B) 伯纳德
（三）文森特
(D) 格温
(E) 詹姆斯",(E)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。按字母顺序排列的最后一只企鹅的名字是什么？
选项：
（一）路易斯
(B) 伯纳德
（三）文森特
(D) 格温
(E) 詹姆斯",(C)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。 5岁以上的企鹅有多少只？
选项：
（一）1
(二)2
（三）3
（四）4
（五）5",(C)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。这是一个类似的表，但列出了长颈鹿：
姓名、年龄、身高(cm)、体重(kg)
乔迪，5, 430, 620
格拉迪斯, 10, 420, 590
玛丽安, 2, 310, 410
唐娜，9、440、650
5岁以上的动物有多少？
选项：
（一）5
(二) 6
（三）7
（四）8
（五）9",(A)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。哪只企鹅比格温还老？
选项：
（一）路易斯
(B) 伯纳德
（三）文森特
(D) 格温
(E) 詹姆斯",(C)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。这是一个类似的表，但列出了长颈鹿：
姓名、年龄、身高(cm)、体重(kg)
乔迪，5, 430, 620
格拉迪斯, 10, 420, 590
玛丽安, 2, 310, 410
唐娜，9、440、650
长颈鹿的累计年龄是多少？
选项：
（一）26
（乙）29
（三）41
（四）55
（英）67",(A)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。现在我们在表中添加一只企鹅：
詹姆斯, 12, 90, 12
这是一个类似的表，但列出了长颈鹿：
姓名、年龄、身高(cm)、体重(kg)
乔迪，5, 430, 620
格拉迪斯, 10, 420, 590
玛丽安, 2, 310, 410
唐娜，9、440、650
身高70厘米的企鹅叫什么名字？
选项：
（一）路易斯
(B) 伯纳德
（三）文森特
(D) 格温
(E) 詹姆斯",(D)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。这是一个类似的表，但列出了长颈鹿：
姓名、年龄、身高(cm)、体重(kg)
乔迪，5, 430, 620
格拉迪斯, 10, 420, 590
玛丽安, 2, 310, 410
唐娜，9、440、650
按字母顺序排列的最后一只长颈鹿叫什么名字？
选项：
（一）乔迪
(B) 格拉迪斯
（三）玛丽安
(D) 唐娜
(E) 路易丝",(C)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。现在我们在表中添加一只企鹅：
詹姆斯, 12, 90, 12
桌子上有多少只企鹅？
选项：
（一）1
(二)2
（三）3
（四）4
（五）5",(E)
"这是一个表格，其中第一行是标题，后续各行是一只企鹅：姓名、年龄、身高 (cm)、体重 (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 例如：Louis 的年龄是 7，Gwen 的体重是 15 公斤，Bernard 的身高是 80 厘米。哪只企鹅的名字是一位著名爵士乐手的名字？
选项：
（一）路易斯
(B) 伯纳德
（三）文森特
(D) 格温
(E) 詹姆斯",(A)
