输入,目标
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。在一场高尔夫锦标赛中，有七名高尔夫球手：安娜、伊芙、艾达、丹、罗布、艾米和乔。丹获得第三名。安娜的成绩高于艾达。艾米最后完成。丹的成绩低于罗布。夏娃的成绩低于艾达。罗布的成绩低于乔。
选项：
(A) 安娜获得第三名
(B) Eve 获得第三名
(C) 艾达获得第三名
(D) 丹获得第三名
(E) 罗布获得第三名
(F) 艾米获得第三名
(G) 乔获得第三名",(D)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。在古董车展上，有七种车辆：一辆公共汽车、一辆摩托车、一辆掀背车、一辆旅行车、一辆小型货车、一辆卡车和一辆豪华轿车。旅行车是第四款最新的。摩托车比卡车新。旅行车比掀背车更老。小型货车比掀背车更新。巴士比小型货车更新。这辆卡车比豪华轿车更新。
选项：
(A) 公共汽车是第三古老的
(B) 摩托车是第三古老的
(C) 掀背车是第三古老的
(D) 旅行车是第三古老的
(E) 小型货车是第三古老的
(F) 卡车是第三古老的
(G) 豪华轿车是第三古老的",(B)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。树枝上有七只鸟：蜂鸟、红雀、冠蓝鸦、猫头鹰、乌鸦、鹌鹑和知更鸟。蜂鸟在鹌鹑的左边。知更鸟位于红衣主教的左边。蓝鸟是最左边的。红衣主教是左起第四位。乌鸦是右边第三个。猫头鹰是左起第三个。
选项：
(A) 蜂鸟是右数第二个
(B) 红衣主教是右数第二个
(C) 冠蓝鸦是右数第二个
(D) 猫头鹰是右数第二个
(E) 乌鸦是右数第二个
(F) 鹌鹑是右数第二个
(G) 知更鸟是右数第二个",(A)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。树枝上有七只鸟：知更鸟、猫头鹰、鹌鹑、猎鹰、蜂鸟、红雀和乌鸦。蜂鸟位于猎鹰的左侧。乌鸦在红衣主教的右边。红衣主教是右数第二个。鹌鹑是右数第三个。猎鹰在知更鸟的左边。猫头鹰是左起第二个。
选项：
(A) 知更鸟是左起第四个
(B) 猫头鹰是左数第四个
(C) 鹌鹑是左数第四个
(D) 猎鹰是左起第四个
(E) 蜂鸟是左数第四个
(F) 红衣主教是左起第四位
(G) 乌鸦是左起第四个",(A)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。水果摊出售七种水果：猕猴桃、李子、芒果、西瓜、梨、桃子和橙子。梨是第三便宜的。猕猴桃是第二贵的。梨比李子贵。橙子比猕猴桃便宜。芒果是第三贵的。桃子是第二便宜的。
选项：
(A) 奇异果是第二便宜的
(B) 李子是第二便宜的
(C) 芒果是第二便宜的
(D) 西瓜是第二便宜的
(E) 梨是第二便宜的
(F) 桃子是第二便宜的
(G) 橙子是第二便宜的",(F)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。在一场高尔夫锦标赛中，有七名高尔夫球手：伊莱、伊芙、梅尔、乔、米亚、罗布和艾达。艾达（Ada）的成绩高于米亚（Mya）。伊莱的成绩低于乔。以利的成绩高于夏娃。艾达获得倒数第二名。梅尔获得第三名。罗布获得第四名。
选项：
(A) Eli 获得倒数第三名
(B) Eve 获得倒数第三名
(C) 梅尔获得倒数第三名
(D) 乔获得倒数第三名
(E) Mya 获得倒数第三名
(F) 罗布获得倒数第三名
(G) 艾达获得倒数第三名",(B)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。在一场高尔夫锦标赛中，有七名高尔夫球手：艾米、伊芙、艾达、罗布、丹、梅尔和乔。乔获得第三名。丹最后完成。伊芙先完成了。梅尔的成绩低于罗布。艾达的成绩高于乔。罗布获得倒数第三名。
选项：
(A) 艾米垫底
(B) 夏娃最后一名
(C) 艾达垫底
(D) 罗布最后一名
(E) 丹最后一名
(F) 梅尔最后一名
(G) 乔最后一名",(E)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。一个水果摊出售七种水果：橙子、枇杷、苹果、猕猴桃、芒果、李子和桃子。苹果是第二便宜的。桃子是最便宜的。李子是第四贵的。枇杷是第三便宜的。猕猴桃比芒果贵。橙子比芒果便宜。
选项：
(A) 橙子是第三便宜的
(B) 枇杷是第三便宜的
(C) 苹果是第三便宜的
(D) 奇异果是第三便宜的
(E) 芒果是第三便宜的
(F) 李子是第三便宜的
(G) 桃子是第三便宜的",(B)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。在古董车展上，有七种车辆：一辆豪华轿车、一辆卡车、一辆小型货车、一辆拖拉机、一辆掀背车、一辆公共汽车和一辆敞篷车。敞篷车是第二古老的。拖拉机是第四新的。小型货车比卡车更旧。这辆卡车比豪华轿车更旧。掀背车是第三古老的。巴士比豪华轿车新。
选项：
(A) 豪华轿车是最古老的
(B) 卡车是最古老的
(C) 小型货车是最古老的
(D) 拖拉机是最古老的
(E) 掀背车是最古老的
(F) 巴士是最古老的
(G) 敞篷车是最古老的",(C)
"以下段落分别描述了一组按固定顺序排列的七个对象。每个段落中的陈述在逻辑上是一致的。书架上有七本书：一本棕色的书，一本黄色的书，一本黑色的书，一本白色的书，一本绿色的书，一本橙色的书，一本紫色的书。紫色的书是最右边的。黄皮书是最左边的。橙皮书是右数第二本。棕色书位于绿色书的左侧。棕色书位于黑色书的右侧。白书是左起第四本。
选项：
(A) 棕色的书是最左边的
(B) 黄皮书在最左边
(C) 黑书在最左边
(D) 白书在最左边
(E) 绿皮书在最左边
(F) 橙皮书最左边
(G) 紫色的书在最左边",(B)
